EXIO3,year,Country Area,Land Use,Pourcentage
NO,1981,365244.0,131247.992055,35.934332132766045
PL,1981,306290.0,281129.667378,91.78545410493322
PT,1981,91500.0,73254.221416,80.05925837814208
RO,1981,230340.0,210746.117373,91.49349542979941
SE,1981,407339.7,312525.814911,76.72363261204346
TR,1981,769630.0,598859.095156,77.81129830645894
TW,1981,35410.0,8999.990078,25.416520977125106
US,1981,9158960.0,7353308.0,80.28540358293955
WA,1981,7292488.74,5406042.0,74.13164685942318
WE,1981,130315.25,39526.879972,30.331737821935654
WF,1981,23962685.0,14228450.0,59.37752801908467
WL,1981,10213233.61,7408893.0,72.54208885172069
WM,1981,6459790.0,2102842.0,32.55279196382545
ZA,1981,1213090.0,1127649.16,92.95676000956234
AT,1982,82520.0,67387.88856,81.66249219583132
AU,1982,7682300.0,5984938.0,77.90554911940434
BE,1982,30131.21,21060.989826,69.89759065766029
BG,1982,110630.0,93623.279121,84.62738779806563
BR,1982,8358140.0,7651374.0,91.54397988069115
CA,1982,8965590.0,4083145.0,45.54240155974119
CH,1982,39528.71,28038.769945,70.93267132926928
CN,1982,9424670.0,6773948.0,71.87464388673556
CY,1982,9240.0,3329.719984,36.03593056277056
DE,1982,349130.0,290960.667998,83.33877581359378
DK,1982,40000.0,33954.799744,84.88699936
ES,1982,499460.0,465825.203437,93.26576771653386
FI,1982,304590.0,246001.969185,80.76495261991529
FR,1982,547566.0,461657.096797,84.31076743205384
GB,1982,241930.0,210387.122265,86.9619816744513
GR,1982,128900.0,128948.688672,100.03777243754848
HU,1982,89890.0,81652.16895,90.83565352097008
ID,1982,1811570.0,1455326.0,80.33506847651485
IE,1982,68890.0,54479.640088,79.0820729975323
IN,1982,2973190.0,2489411.0,83.728621446998
IT,1982,294110.0,244129.276943,83.0061123195403
JP,1982,366200.0,302474.062313,82.5980508773894
KR,1982,96460.0,82741.299088,85.77783442670537
LU,1982,2574.46,2127.320062,82.63169992930555
MT,1982,320.0,132.929997,41.540624062499994
MX,1982,1943950.0,1722501.0,88.60829753851694
NL,1982,33760.0,23570.989926,69.81928295616113
NO,1982,365244.0,131265.679713,35.9391748291553
PL,1982,306290.0,280939.670645,91.72342245747494
PT,1982,91500.0,73261.817776,80.06756041092896
RO,1982,230340.0,210807.615527,91.52019428974559
SE,1982,407339.7,312520.23493,76.72226275268528
TR,1982,769630.0,593732.963047,77.14524681301405
TW,1982,35410.0,8909.989902,25.162354990115784
US,1982,9158960.0,7362873.0,80.38983683737018
WA,1982,7292478.74,5425701.0,74.40132763417559
WE,1982,130315.25,39519.949749,30.32641977742436
WF,1982,23962685.0,14233780.0,59.39977093551912
WL,1982,10213233.61,7407404.0,72.52750972764639
WM,1982,6459790.0,2108118.0,32.63446644550365
ZA,1982,1213090.0,1127584.0,92.95138860265932
AT,1983,82520.0,67169.460226,81.3977947479399
AU,1983,7682300.0,5939159.0,77.30964685055257
BE,1983,30141.83,21038.349678,69.79785128507459
BG,1983,110630.0,93603.838272,84.60981494350537
BR,1983,8358140.0,7652363.0,91.55581265688299
CA,1983,8965590.0,4082965.0,45.54039388372656
CH,1983,39528.71,28021.281332,70.88842851689317
CN,1983,9424670.0,6814762.785,72.30770716640477
